leaf-shread,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,fruit-pods,fruit-spots,seed,seed-discolor,seed-size,shriveling,class
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,tan,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,colored,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,tan,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,tan,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,tan,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,abnorm,present,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,abnorm,present,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,present,firm-and-dry,diseased,brown-w/blk-specks,abnorm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,present,absent,diseased,brown-w/blk-specks,abnorm,present,lt-norm,present,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dna,present,absent,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,brown,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,tan,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,absent,absent,diseased,brown-w/blk-specks,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,absent,absent,norm,colored,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,brown,present,absent,diseased,brown-w/blk-specks,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,dna,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
